Sum of RecodedValue,Column Labels,,,,,,
Row Labels,F1,F2,F3,F4,F5,F6,Grand Total
212,32,46,18,16,32,19,163
213,40,57,19,15,34,25,190
214,32,45,13,15,30,15,150
215,32,49,20,17,27,21,166
216,32,49,17,18,28,16,160
217,33,51,14,18,32,18,166
218,39,56,25,23,34,15,192
219,32,48,23,17,35,21,176
220,39,53,23,22,26,18,181
221,31,57,24,22,35,21,190
222,40,60,25,19,35,21,200
223,35,51,18,20,32,18,174
224,39,58,24,20,37,19,197
225,32,45,19,18,30,17,161
226,36,51,22,20,26,21,176
227,33,54,22,17,30,20,176
228,26,57,19,19,28,20,169
229,37,54,24,18,35,19,187
230,38,56,23,22,33,20,192
231,40,58,19,22,29,22,190
232,40,59,24,22,34,24,203
233,32,49,22,18,32,22,175
234,30,50,14,16,28,19,157
235,37,47,23,17,29,15,168
236,27,46,21,15,31,12,152
237,39,54,24,17,35,19,188
238,35,55,19,17,27,17,170
239,32,48,24,20,30,18,172
240,40,60,24,21,33,21,199
241,33,51,17,20,24,18,163
242,32,48,23,16,23,17,159
243,25,42,21,15,25,17,145
244,40,60,23,23,28,22,196
245,31,54,22,17,36,23,183
246,29,52,23,21,26,18,169
247,37,50,22,18,31,20,178
248,27,48,19,18,26,16,154
249,33,53,23,16,33,21,179
250,29,48,21,18,23,15,154
251,37,50,20,21,28,19,175
252,32,46,15,14,33,18,158
253,36,50,22,21,30,23,182
254,37,56,24,24,30,18,189
255,36,56,24,20,32,20,188
256,31,48,20,14,30,19,162
257,30,53,13,17,26,19,158
258,28,49,18,18,26,15,154
259,32,51,13,22,27,18,163
260,32,50,22,18,34,22,178
261,31,48,24,19,28,15,165
262,30,47,20,23,33,19,172
263,38,50,20,19,31,21,179
264,33,53,16,21,33,17,173
Grand Total,8915,13780,5285,4945,8063,4973,45961
